ENSG00000000003	uc004ega.1
ENSG00000004660	uc002fwv.3
ENSG00000004700	uc001rex.3
ENSG00000004700	uc001rey.3
ENSG00000004766	uc003umn.3
ENSG00000004766	uc003umo.3
ENSG00000004766	uc003ump.3
ENSG00000004766	uc003umr.3
ENSG00000004766	uc011khz.2
ENSG00000004776	uc002obn.1
ENSG00000004777	uc002obr.2
ENSG00000004777	uc002obs.2
ENSG00000004777	uc002obt.2
ENSG00000004777	uc002obv.1
ENSG00000004777	uc010eek.2
ENSG00000004779	uc002dlw.3
ENSG00000004799	uc003uoa.3
ENSG00000004809	uc003pue.3
ENSG00000004809	uc003puf.3
ENSG00000004838	uc003dag.1
ENSG00000004838	uc010hll.1
ENSG00000004846	uc003suv.4
ENSG00000004846	uc003suw.4
ENSG00000004846	uc010kuh.3
ENSG00000004846	uc011jyi.1
ENSG00000004848	uc004dbp.4
ENSG00000004864	uc003uof.4
ENSG00000004864	uc003uog.4
ENSG00000004864	uc011kik.2
ENSG00000004866	uc003vin.3
ENSG00000004866	uc003vio.3
ENSG00000004866	uc003viq.3
ENSG00000004866	uc003vir.3
ENSG00000004866	uc003viy.1
ENSG00000004866	uc011knm.2
ENSG00000004897	uc002ild.4
ENSG00000004897	uc002ile.4
ENSG00000004897	uc002ilf.4
ENSG00000004897	uc010wkp.2
ENSG00000004939	uc002igf.4
ENSG00000004948	uc003umv.2
ENSG00000004948	uc003umw.2
ENSG00000004948	uc022ahi.1
ENSG00000004961	uc004cuj.3
ENSG00000004961	uc004cuk.3
ENSG00000004961	uc004cul.2
ENSG00000004975	uc002gez.1
ENSG00000004975	uc010vtr.1
ENSG00000005001	uc002cry.1
ENSG00000005007	uc002nkf.3
ENSG00000005020	uc003syc.3
ENSG00000005020	uc011jzi.2
ENSG00000005020	uc011jzj.2
ENSG00000005022	uc004erh.4
ENSG00000005059	uc011cfs.2
ENSG00000005073	uc003syx.3
ENSG00000005075	uc003uzp.1
ENSG00000005100	uc002gca.3
ENSG00000005100	uc010clf.3
ENSG00000005102	uc002idz.3
ENSG00000005102	uc002iea.3
ENSG00000005102	uc002ieb.3
ENSG00000005108	uc021zzo.1
ENSG00000005156	uc002hii.3
ENSG00000005156	uc002hij.3
ENSG00000005156	uc002hik.2
ENSG00000005156	uc010cth.1
ENSG00000005175	uc001rpr.3
ENSG00000005175	uc001rps.3
ENSG00000005175	uc010slk.2
ENSG00000005187	uc002dhq.3
ENSG00000005187	uc002dhr.3
ENSG00000005187	uc010vba.2
ENSG00000005189	uc002dhv.3
ENSG00000005189	uc002dhx.3
ENSG00000005189	uc002dhy.4
ENSG00000005194	uc002ell.1
ENSG00000005194	uc002elm.1
ENSG00000005194	uc010vhm.1
ENSG00000005238	uc003zwl.3
ENSG00000005238	uc003zwm.3
ENSG00000005238	uc003zwn.3
ENSG00000005238	uc003zwo.3
ENSG00000005238	uc003zwp.1
ENSG00000005243	uc002imy.3
ENSG00000005249	uc003vdx.3
ENSG00000005302	uc004cuv.1
ENSG00000005302	uc004cuw.3
ENSG00000005302	uc004cuy.3
ENSG00000005302	uc011mig.2
ENSG00000005302	uc011mih.2
ENSG00000005302	uc011mii.2
ENSG00000005339	uc002cvv.3
ENSG00000005339	uc002cvw.3
ENSG00000005379	uc002ivw.3
ENSG00000005379	uc002ivx.4
ENSG00000005379	uc010dcs.3
ENSG00000005381	uc002ivu.1
ENSG00000005421	uc003uns.3
ENSG00000005421	uc011kih.2
ENSG00000005436	uc002sno.3
ENSG00000005436	uc010ffs.3
ENSG00000005448	uc002slb.3
ENSG00000005469	uc003uis.3
ENSG00000005469	uc003uit.3
ENSG00000005469	uc003uiu.3
ENSG00000005471	uc003uiv.1
ENSG00000005471	uc003uiw.1
ENSG00000005471	uc003uix.1
ENSG00000005483	uc003vcl.3
ENSG00000005483	uc003vcm.3
ENSG00000005483	uc010ljb.1
ENSG00000005483	uc010ljc.3
ENSG00000005483	uc010ljh.1
ENSG00000005486	uc003udv.1
ENSG00000005486	uc003udw.1
ENSG00000005513	uc002ckn.3
ENSG00000005700	uc003pjl.1
ENSG00000005700	uc011dyu.1
ENSG00000005700	uc011dyv.1
ENSG00000005700	uc011dyw.1
ENSG00000005801	uc001lxs.3
ENSG00000005801	uc001lxt.3
ENSG00000005801	uc001lxu.3
ENSG00000005801	uc001lxv.3
ENSG00000005801	uc009ydz.3
ENSG00000005801	uc010qxr.2
ENSG00000005801	uc021qck.1
ENSG00000005810	uc001vke.3
ENSG00000005810	uc021rks.1
ENSG00000005812	uc001vkd.3
ENSG00000005844	uc002dyi.4
ENSG00000005844	uc002dyj.4
ENSG00000005844	uc010veu.1
ENSG00000005844	uc010vev.2
ENSG00000005882	uc002iqb.3
ENSG00000005882	uc002iqc.3
ENSG00000005882	uc021tzx.1
ENSG00000005884	uc010dbl.3
ENSG00000005884	uc010dbm.3
ENSG00000005889	uc004dbd.2
ENSG00000005889	uc004dbf.3
ENSG00000005889	uc010nfx.2
ENSG00000005889	uc010nfy.1
ENSG00000005889	uc011mjv.2
ENSG00000005889	uc022bua.1
ENSG00000005893	uc004ess.4
ENSG00000005893	uc004est.4
ENSG00000005893	uc010nqp.1
ENSG00000005893	uc011mtz.2
ENSG00000005893	uc011mua.1
ENSG00000005955	uc002hnb.3
ENSG00000005961	uc002igt.1
ENSG00000005981	uc003unx.3
ENSG00000005981	uc011kij.2
ENSG00000006007	uc002dgh.3
ENSG00000006007	uc002dgi.3
ENSG00000006015	uc002njv.4
ENSG00000006015	uc010ebs.3
ENSG00000006016	uc010ebt.2
ENSG00000006025	uc002ilx.1
ENSG00000006042	uc002hhq.3
ENSG00000006042	uc002hhr.3
ENSG00000006047	uc002gfq.2
ENSG00000006059	uc002hwk.1
ENSG00000006062	uc010daj.1
ENSG00000006071	uc001mnc.3
ENSG00000006074	uc002hku.3
ENSG00000006075	uc002hkv.3
ENSG00000006114	uc002hoa.3
ENSG00000006114	uc002hob.3
ENSG00000006114	uc002hoc.3
ENSG00000006114	uc002hod.3
ENSG00000006114	uc002hoe.3
ENSG00000006114	uc010wde.2
ENSG00000006114	uc010wdg.2
ENSG00000006116	uc002dmf.3
ENSG00000006118	uc001nqi.3
ENSG00000006118	uc001nqj.3
ENSG00000006125	uc002hjq.3
ENSG00000006125	uc002hjr.3
ENSG00000006125	uc002hjs.3
ENSG00000006125	uc002hjt.3
ENSG00000006125	uc010ctv.3
ENSG00000006125	uc010wci.2
ENSG00000006128	uc003uop.4
ENSG00000006128	uc003uoq.4
ENSG00000006128	uc003uor.4
ENSG00000006194	uc002cuo.2
ENSG00000006194	uc002cuq.3
ENSG00000006194	uc002cur.2
ENSG00000006194	uc010uww.2
ENSG00000006210	uc002eli.3
ENSG00000006282	uc002ird.3
ENSG00000006282	uc002ire.3
ENSG00000006282	uc002irf.3
ENSG00000006282	uc002irg.3
ENSG00000006282	uc010wmv.1
ENSG00000006283	uc002iri.1
ENSG00000006283	uc002irj.1
ENSG00000006283	uc002irk.1
ENSG00000006283	uc002irl.1
ENSG00000006283	uc002irm.1
ENSG00000006283	uc002irn.1
ENSG00000006283	uc002iro.1
ENSG00000006283	uc002irp.1
ENSG00000006283	uc002irr.1
ENSG00000006283	uc002irs.1
ENSG00000006283	uc002irt.1
ENSG00000006283	uc002iru.1
ENSG00000006283	uc002irv.1
ENSG00000006283	uc002irw.1
ENSG00000006283	uc002isj.3
ENSG00000006327	uc002csv.4
ENSG00000006327	uc002csw.4
ENSG00000006377	uc022ahu.1
ENSG00000006432	uc001xmk.3
ENSG00000006432	uc001xml.3
ENSG00000006432	uc001xmm.3
ENSG00000006432	uc010ttk.2
ENSG00000006451	uc003thd.3
ENSG00000006453	uc003upj.3
ENSG00000006459	uc003vvm.3
ENSG00000006468	uc003ssw.4
ENSG00000006468	uc010ktv.3
ENSG00000006468	uc021zzt.1
ENSG00000006468	uc021zzu.1
ENSG00000006468	uc021zzv.1
ENSG00000006468	uc021zzx.1
ENSG00000006468	uc021zzy.1
ENSG00000006468	uc021zzz.1
ENSG00000006468	uc022aaa.1
ENSG00000006468	uc022aab.1
ENSG00000006530	uc003vwi.2
ENSG00000006534	uc001onb.3
ENSG00000006555	uc001cxz.4
ENSG00000006555	uc009vzt.1
ENSG00000006576	uc003ugo.4
ENSG00000006576	uc003ugp.3
ENSG00000006576	uc003ugq.4
ENSG00000006576	uc003ugr.4
ENSG00000006576	uc003ugs.4
ENSG00000006576	uc003ugt.4
ENSG00000006576	uc010ldv.3
ENSG00000006606	uc003udt.1
ENSG00000006607	uc002wbi.2
ENSG00000006607	uc010zoq.2
ENSG00000006607	uc010zor.2
ENSG00000006611	uc001mnd.3
ENSG00000006611	uc001mne.3
ENSG00000006611	uc001mnf.3
ENSG00000006611	uc009yhb.3
ENSG00000006625	uc003tba.3
ENSG00000006625	uc003tbb.3
ENSG00000006625	uc022abe.1
ENSG00000006625	uc022abf.1
ENSG00000006634	uc003ujf.1
ENSG00000006638	uc002lyg.2
ENSG00000006638	uc021umv.1
ENSG00000006652	uc003vgh.3
ENSG00000006652	uc003vgi.3
ENSG00000006652	uc003vgj.3
ENSG00000006652	uc011kmp.2
ENSG00000006659	uc002omf.3
ENSG00000006659	uc002omg.3
ENSG00000006695	uc002gof.4
ENSG00000006695	uc010vvs.2
ENSG00000006695	uc010vvt.2
ENSG00000006704	uc003uap.3
ENSG00000006704	uc003uaq.3
ENSG00000006704	uc003uar.1
ENSG00000006704	uc010lbq.3
ENSG00000006712	uc002old.3
ENSG00000006712	uc002ole.1
ENSG00000006715	uc003tgx.3
ENSG00000006715	uc003tgy.3
ENSG00000006715	uc003tgz.3
ENSG00000006740	uc002gnr.4
ENSG00000006740	uc010vvk.2
ENSG00000006740	uc010vvl.2
ENSG00000006740	uc010vvm.2
ENSG00000006740	uc021tqh.1
ENSG00000006744	uc002gnu.4
ENSG00000006744	uc002gnx.4
ENSG00000006744	uc002gnz.4
ENSG00000006744	uc010vvo.2
ENSG00000006744	uc010vvp.2
ENSG00000006744	uc010vvr.2
ENSG00000006747	uc003ssn.4
ENSG00000006747	uc003sso.4
ENSG00000006756	uc004cqy.3
ENSG00000006757	uc011mhq.1
ENSG00000006757	uc011mhr.1
ENSG00000006757	uc011mhs.1
ENSG00000006788	uc002gmk.1
ENSG00000006831	uc001qjm.3
ENSG00000006837	uc003kzf.4
ENSG00000006837	uc003kzg.4
ENSG00000006837	uc011cxm.1
ENSG00000006837	uc011cxn.1
ENSG00000006837	uc011cxo.1
ENSG00000006837	uc011cxp.1
ENSG00000006837	uc011cxq.2
ENSG00000007001	uc002tzo.3
ENSG00000007001	uc002tzp.3
ENSG00000007038	uc002crr.3
ENSG00000007038	uc002crs.3
ENSG00000007038	uc002crt.3
ENSG00000007047	uc002paz.2
ENSG00000007047	uc002pba.2
ENSG00000007047	uc002pbb.2
ENSG00000007062	uc003goo.2
ENSG00000007062	uc003gop.2
ENSG00000007062	uc003goq.3
ENSG00000007062	uc003gor.2
ENSG00000007062	uc003got.2
ENSG00000007062	uc003gou.2
ENSG00000007080	uc010xpz.2
ENSG00000007129	uc002orc.1
ENSG00000007129	uc002ore.4
ENSG00000007129	uc002org.4
ENSG00000007168	uc002fuw.4
ENSG00000007168	uc010vqz.2
ENSG00000007171	uc002gzu.3
ENSG00000007174	uc002gnd.1
ENSG00000007174	uc002gne.3
ENSG00000007174	uc002gnf.3
ENSG00000007202	uc002hbu.3
ENSG00000007216	uc002hbh.3
ENSG00000007216	uc002hbi.3
ENSG00000007216	uc010wan.2
ENSG00000007216	uc010wao.2
ENSG00000007237	uc002gmg.1
ENSG00000007237	uc002gmh.1
ENSG00000007237	uc002gmi.2
ENSG00000007237	uc002gmj.1
ENSG00000007237	uc010coh.1
ENSG00000007237	uc010vvc.1
ENSG00000007237	uc010vvd.1
ENSG00000007255	uc002pav.3
ENSG00000007255	uc002paw.3
ENSG00000007264	uc002lyt.3
ENSG00000007264	uc002lyu.3
ENSG00000007264	uc002lyv.3
ENSG00000007264	uc010dtq.3
ENSG00000007306	uc002ori.1
ENSG00000007306	uc010ehx.2
ENSG00000007312	uc002jdp.1
ENSG00000007312	uc002jdq.1
ENSG00000007312	uc002jdr.1
ENSG00000007314	uc002jds.1
ENSG00000007341	uc001ecc.3
ENSG00000007341	uc001ecd.3
ENSG00000007341	uc001ece.3
ENSG00000007341	uc001ecf.3
ENSG00000007341	uc001ecg.3
ENSG00000007341	uc001ech.3
ENSG00000007341	uc001eci.3
ENSG00000007341	uc009wgh.3
ENSG00000007341	uc010owg.2
ENSG00000007341	uc010owi.2
ENSG00000007341	uc010owj.1
ENSG00000007350	uc004fkg.3
ENSG00000007350	uc004fkh.3
ENSG00000007350	uc011mzm.2
ENSG00000007372	uc001mtd.4
ENSG00000007372	uc001mte.4
ENSG00000007372	uc001mtf.4
ENSG00000007372	uc001mtg.4
ENSG00000007372	uc001mth.4
ENSG00000007372	uc009yjr.3
ENSG00000007372	uc021qfl.1
ENSG00000007372	uc021qfm.1
ENSG00000007376	uc002cka.3
ENSG00000007376	uc002ckb.3
ENSG00000007384	uc002cfl.4
ENSG00000007384	uc010utz.2
ENSG00000007392	uc002cga.1
ENSG00000007392	uc002cgb.1
ENSG00000007392	uc002cgc.1
ENSG00000007392	uc002cgd.1
ENSG00000007392	uc002cge.1
ENSG00000007392	uc021szo.1
ENSG00000007402	uc003dap.3
ENSG00000007402	uc003daq.3
ENSG00000007516	uc002clj.3
ENSG00000007516	uc002clk.2
ENSG00000007516	uc010uuz.2
ENSG00000007516	uc010uva.2
ENSG00000007516	uc010uvc.1
ENSG00000007516	uc021tag.1
ENSG00000007520	uc002cll.3
ENSG00000007541	uc002chm.3
ENSG00000007541	uc002chn.3
ENSG00000007541	uc002cho.3
ENSG00000007541	uc010bqw.3
ENSG00000007541	uc010uui.2
ENSG00000007545	uc010uvh.2
ENSG00000007866	uc003okt.3
ENSG00000007866	uc003oku.4
ENSG00000007866	uc010jvx.3
ENSG00000007908	uc001ggm.4
ENSG00000007923	uc001aof.2
ENSG00000007923	uc001aog.2
ENSG00000007923	uc010nzu.1
ENSG00000007933	uc001ghh.3
ENSG00000007933	uc001ghi.3
ENSG00000007933	uc010pma.1
ENSG00000007933	uc010pmb.2
ENSG00000007933	uc010pmc.2
ENSG00000007944	uc003nbq.3
ENSG00000007944	uc003nbr.3
ENSG00000007952	uc004egj.3
ENSG00000007952	uc004egl.4
ENSG00000007952	uc010nne.3
ENSG00000007968	uc001bhe.2
ENSG00000008018	uc003qxr.3
ENSG00000008018	uc011ehe.2
ENSG00000008056	uc004did.3
ENSG00000008056	uc004die.3
ENSG00000008083	uc003nbj.3
ENSG00000008083	uc011div.2
ENSG00000008083	uc011diw.1
ENSG00000008086	uc004cym.3
ENSG00000008086	uc004cyn.3
ENSG00000008118	uc001hhd.3
ENSG00000008118	uc001hhe.3
ENSG00000008118	uc001hhf.4
ENSG00000008128	uc001ahu.1
ENSG00000008128	uc009vkr.3
ENSG00000008128	uc009vks.3
ENSG00000008128	uc010nyt.1
ENSG00000008130	uc001aic.3
ENSG00000008130	uc001aid.4
ENSG00000008130	uc001aie.3
ENSG00000008130	uc009vkx.1
ENSG00000008130	uc010nyv.2
ENSG00000008196	uc003pag.3
ENSG00000008197	uc003paf.3
ENSG00000008226	uc003cho.1
ENSG00000008226	uc003chp.1
ENSG00000008226	uc010hgv.1
ENSG00000008256	uc003spt.3
ENSG00000008256	uc011jws.2
ENSG00000008277	uc003uji.2
ENSG00000008277	uc003ujj.2
ENSG00000008277	uc003ujk.2
ENSG00000008277	uc003ujm.3
ENSG00000008277	uc003ujn.3
ENSG00000008277	uc003ujo.3
ENSG00000008277	uc003ujp.1
ENSG00000008282	uc003vdo.3
ENSG00000008282	uc003vdp.3
ENSG00000008283	uc002jap.3
ENSG00000008283	uc002jaq.3
ENSG00000008283	uc002jar.3
ENSG00000008283	uc002jas.3
ENSG00000008283	uc002jat.3
ENSG00000008283	uc010ddt.3
ENSG00000008283	uc010wpf.2
ENSG00000008283	uc010wpg.2
ENSG00000008294	uc002ita.3
ENSG00000008294	uc002itb.3
ENSG00000008294	uc002itc.3
ENSG00000008294	uc002itd.3
ENSG00000008294	uc002itg.3
ENSG00000008300	uc003cul.3
ENSG00000008311	uc003vka.3
ENSG00000008311	uc003vkb.3
ENSG00000008323	uc001qnr.3
ENSG00000008323	uc001qns.3
ENSG00000008323	uc010sew.2
ENSG00000008323	uc010sex.2
ENSG00000008324	uc003clk.1
ENSG00000008382	uc002mae.3
ENSG00000008382	uc002mag.3
ENSG00000008394	uc001rdf.3
ENSG00000008394	uc001rdg.3
ENSG00000008394	uc001rdh.3
ENSG00000008394	uc001rdi.3
ENSG00000008394	uc009zih.1
ENSG00000008405	uc001tmi.3
ENSG00000008438	uc002pdx.2
ENSG00000008441	uc002mwd.3
ENSG00000008441	uc002mwe.3
ENSG00000008441	uc002mwf.3
ENSG00000008441	uc002mwg.2
ENSG00000008441	uc010xmx.2
ENSG00000008513	uc003yuk.2
ENSG00000008513	uc003yum.2
ENSG00000008516	uc002cth.3
ENSG00000008517	uc002ctk.3
ENSG00000008517	uc002ctl.3
ENSG00000008517	uc002ctm.3
ENSG00000008517	uc002ctn.3
ENSG00000008517	uc002cto.3
ENSG00000008517	uc002ctp.3
ENSG00000008517	uc002ctq.3
ENSG00000008517	uc002ctr.3
ENSG00000008517	uc002ctt.3
ENSG00000008517	uc002ctu.3
ENSG00000008517	uc010btb.3
ENSG00000008517	uc010uwp.2
ENSG00000008517	uc010uwr.2
ENSG00000008710	uc002cos.1
ENSG00000008710	uc002cot.1
ENSG00000008735	uc003bmx.3
ENSG00000008735	uc003bmy.3
ENSG00000008838	uc002hts.3
ENSG00000008838	uc002htt.3
ENSG00000008838	uc002htu.3
ENSG00000008838	uc010cwn.3
ENSG00000008838	uc010wer.2
ENSG00000008838	uc010weu.2
ENSG00000008838	uc010wev.1
ENSG00000008838	uc010wew.1
ENSG00000008838	uc010wex.1
ENSG00000008838	uc010wfb.1
ENSG00000008838	uc010wfc.1
ENSG00000008853	uc003xcp.2
ENSG00000008853	uc003xcq.2
ENSG00000008853	uc011kzp.1
ENSG00000008869	uc002rpp.1
ENSG00000008952	uc003fgg.3
ENSG00000008952	uc003fgh.3
ENSG00000008988	uc003xsm.2
ENSG00000008988	uc003xsn.2
ENSG00000009307	uc001efi.3
ENSG00000009307	uc001efk.3
ENSG00000009307	uc001efl.3
ENSG00000009307	uc001efm.3
ENSG00000009307	uc001efn.3
ENSG00000009307	uc009wgv.3
ENSG00000009335	uc003wnf.2
ENSG00000009335	uc010lqs.3
ENSG00000009413	uc003puy.4
ENSG00000009413	uc003puz.4
ENSG00000009694	uc004euj.3
ENSG00000009694	uc010nqy.3
ENSG00000009694	uc011muj.2
ENSG00000009709	uc001bay.3
ENSG00000009709	uc001baz.3
ENSG00000009709	uc010oct.2
ENSG00000009724	uc001aru.3
ENSG00000009724	uc001arv.3
ENSG00000009765	uc003qnu.2
ENSG00000009765	uc003qnv.2
ENSG00000009765	uc003qnx.2
ENSG00000009780	uc001boq.3
ENSG00000009780	uc001bor.3
ENSG00000009780	uc001bos.3
ENSG00000009780	uc001bot.3
ENSG00000009780	uc009vtb.3
ENSG00000009780	uc010ofm.2
ENSG00000009790	uc001hhm.2
ENSG00000009790	uc001hhn.3
ENSG00000009790	uc001hho.3
ENSG00000009790	uc009xcr.3
ENSG00000009830	uc001xti.2
ENSG00000009844	uc003qiw.3
ENSG00000009844	uc011edu.2
ENSG00000009950	uc003tyk.1
ENSG00000009950	uc003tyl.1
ENSG00000009950	uc003tym.1
ENSG00000009950	uc003tyn.1
ENSG00000009950	uc003typ.1
ENSG00000009954	uc003tyc.3
ENSG00000010017	uc003nbb.3
ENSG00000010030	uc003olz.2
ENSG00000010030	uc003omb.3
ENSG00000010030	uc003omc.3
ENSG00000010030	uc010jwi.3
ENSG00000010030	uc011dtl.2
ENSG00000010072	uc001hur.3
ENSG00000010072	uc001hus.3
ENSG00000010072	uc001hut.3
ENSG00000010165	uc001ghz.3
ENSG00000010165	uc001gia.3
ENSG00000010165	uc001gib.3
ENSG00000010165	uc010pml.2
ENSG00000010219	uc001qmx.3
ENSG00000010219	uc001qmy.2
ENSG00000010219	uc009zeh.1
ENSG00000010219	uc010ser.2
ENSG00000010244	uc002hhh.4
ENSG00000010244	uc002hhi.4
ENSG00000010244	uc002hhj.4
ENSG00000010244	uc002hhk.1
ENSG00000010244	uc010csz.3
ENSG00000010256	uc003cub.1
ENSG00000010270	uc003tfr.3
ENSG00000010278	uc001qnq.2
ENSG00000010278	uc010sev.2
ENSG00000010282	uc003clw.3
ENSG00000010282	uc003clx.3
ENSG00000010292	uc001qoo.2
ENSG00000010292	uc009zen.1
ENSG00000010292	uc010sfd.1
ENSG00000010295	uc001qpc.2
ENSG00000010295	uc001qpe.2
ENSG00000010295	uc001qpf.2
ENSG00000010310	uc002pct.1
ENSG00000010310	uc002pcu.1
ENSG00000010310	uc010xxp.1
ENSG00000010318	uc003ddy.3
ENSG00000010318	uc003ddz.3
ENSG00000010319	uc003dea.1
ENSG00000010322	uc003dec.1
ENSG00000010322	uc003ded.4
ENSG00000010327	uc003dej.3
ENSG00000010361	uc002ppq.2
ENSG00000010361	uc002ppu.2
ENSG00000010361	uc010ybd.2
ENSG00000010379	uc001qic.2
ENSG00000010379	uc001qid.2
ENSG00000010379	uc010sdl.2
ENSG00000010404	uc004fcw.4
ENSG00000010404	uc011mxd.2
ENSG00000010404	uc011mxe.2
ENSG00000010404	uc011mxh.2
ENSG00000010404	uc011mxi.2
ENSG00000010404	uc011mxj.2
ENSG00000010438	uc003zti.4
ENSG00000010438	uc003ztj.4
ENSG00000010438	uc003ztl.4
ENSG00000010438	uc022bfu.1
ENSG00000010539	uc002cui.2
ENSG00000010539	uc002cuj.2
ENSG00000010539	uc002cuk.2
ENSG00000010539	uc002cul.3
ENSG00000010539	uc002cum.3
ENSG00000010539	uc010bti.2
ENSG00000010610	uc001qqv.2
ENSG00000010610	uc009zez.2
ENSG00000010610	uc009zfb.2
ENSG00000010626	uc001qrp.3
ENSG00000010626	uc001qrq.3
ENSG00000010626	uc001qrt.4
ENSG00000010626	uc009zfh.3
ENSG00000010671	uc004ehg.2
ENSG00000010671	uc010nnn.2
